pID	At_gID	Si_gID	Sp_gID	Es_gID	At	Si	Sp	Es
P000005	AT1G01050.1	Si_s2233_00090.m	NA	NA	0.106573084028568	-0.368771495206113	NA	NA
P000007	AT1G01070.1	Si_s2233_00110.m	NA	NA	1.12734117664915	-1.66470484704891	NA	NA
P000013	AT1G01180.1	Si_s2233_00200.a	NA	NA	-1.36231723933192	-1.83221514787596	NA	NA
P000014	AT1G01190.2	Si_s2233_00210.m	NA	NA	-1.10973823941384	-0.548851454312345	NA	NA
P000018	AT1G01240.1	Si_s2233_00250.a	NA	NA	0.945151410006836	-0.0782080630601881	NA	NA
P000028	AT1G01360.1	Si_s2233_00370.m	NA	NA	-0.739147829685683	-1.0812111230457	NA	NA
P000032	AT1G01420.2	Si_s2233_00400.m	NA	NA	-1.39566085437131	0.275342427508356	NA	NA
P000033	AT1G01430.1	Si_s2233_00410.m	NA	NA	-0.0183619776957879	0.615273793548724	NA	NA
P000038	AT1G01470.1	Si_s2233_00460.m	NA	NA	1.98264382593829	2.25509934262149	NA	NA
P000041	AT1G01500.1	Si_s2233_00490.m	NA	NA	0.627931075198137	0.0138776838338775	NA	NA
P000044	AT1G01540.2	Si_s2851_00740.m	NA	NA	0.327458104482202	0.337018647637057	NA	NA
P000047	AT1G01570.2	Si_s2851_00710.m	NA	NA	0.429122092315544	2.29065794892695	NA	NA
P000048	AT1G01580.2	Si_s2851_00700.m	NA	NA	-3.7035235426414	-0.61062363272414	NA	NA
P000050	AT1G01600.1	Si_s2851_00670.m	NA	NA	1.6450942140476	0.755215202102425	NA	NA
P000052	AT1G01620.1	Si_s2851_00650.m	NA	NA	-0.025353753864978	-0.49703585782917	NA	NA
P000053	AT1G01630.1	Si_s2851_00640.m	NA	NA	0.10859636191044	-0.324276190028327	NA	NA
P000055	AT1G01650.1	Si_s2851_00620.s	NA	NA	0.640185458214502	0.00400944834871371	NA	NA
P000064	AT1G01720.1	Si_s2851_00520.a	NA	NA	1.30878216935233	0.595121145213387	NA	NA
P000071	AT1G01790.1	Si_s2851_00440.m	NA	NA	-0.654896993221198	-0.152291220823408	NA	NA
P000072	AT1G01800.1	Si_s2851_00420.m	NA	NA	0.0899987283066655	-0.73241448492095	NA	NA
P000073	AT1G01820.1	Si_s2851_00410.m	NA	NA	-0.385917041715029	-0.246394246223626	NA	NA
P000074	AT1G01830.1	Si_s2851_00380.a	NA	NA	0.293384927660194	0.263483859665033	NA	NA
P000087	AT1G02030.1	Si_s2851_00240.a	NA	NA	0.54449710138371	2.22946844724828	NA	NA
P000090	AT1G02060.1	Si_s2851_00210.m	NA	NA	-0.390007754578189	0.16876595122411	NA	NA
P000096	AT1G02120.1	Si_s2851_00140.m	NA	NA	-0.382361998267079	-0.171688912930169	NA	NA
P000101	AT1G02170.1	Si_s2851_00060.s	NA	NA	-0.0410455658358509	-0.254639360991071	NA	NA
P000104	AT1G02205.3	Si_s2851_00010.m	NA	NA	5.23584096922614	5.56139918979253	NA	NA
P000111	AT1G02305.1	Si_c230355_00050.m	NA	NA	0.67882832771618	-0.00794478842379877	NA	NA
P000112	AT1G02310.2	Si_c230355_00040.a	NA	NA	3.09835480374897	0.563818655877052	NA	NA
P000114	AT1G02335.1	Si_c230355_00010.m	NA	NA	1.59263331832398	0.624984307008684	NA	NA
P000115	AT1G02360.3	Si_s2380_00800.m	NA	NA	-2.4282031433179	-2.3973491730118	NA	NA
P000119	AT1G02400.1	Si_s2380_00760.m	NA	NA	0.157294891374291	0.817746980465156	NA	NA
P000125	AT1G02470.1	Si_s2380_00690.m	NA	NA	-0.530270513236469	2.90046195030177	NA	NA
P000127	AT1G02530.1	Si_s2380_00670.m	NA	NA	-0.0883391367557433	-0.677903504613579	NA	NA
P000129	AT1G02570.1	Si_s2380_00650.a	NA	NA	-0.0518354002592638	-0.531603846410457	NA	NA
P000134	AT1G02660.1	Si_s2380_00590.m	NA	NA	2.03341782747551	0.586310139869149	NA	NA
P000143	AT1G02816.1	Si_s2380_00450.a	NA	NA	1.26420441558402	0.652368675743302	NA	NA
P000144	AT1G02820.1	Si_s2380_00440.a	NA	NA	3.80742911240418	0.775006006606508	NA	NA
P000146	AT1G02840.1	Si_s1644_00590.m	NA	NA	-0.329792679153644	0.0263331527933559	NA	NA
P000148	AT1G02860.1	Si_s2380_00400.m	NA	NA	-0.685080496821378	0.72770352628371	NA	NA
P000152	AT1G02900.1	Si_s2380_00330.a	NA	NA	-1.05246821800088	-0.222190832343472	NA	NA
P000162	AT1G03030.1	Si_s2380_00210.m	NA	NA	0.347456276553785	0.000808212065267738	NA	NA
