pID	At_gID	Si_gID	Sp_gID	Es_gID	At	Si	Sp	Es
P000003	AT1G01030.1	Si_s2233_00070.a	NA	NA	-0.720002195001658	-0.633509714527062	NA	NA
P000005	AT1G01050.1	Si_s2233_00090.m	NA	NA	-0.001258912231422	-0.151985866589133	NA	NA
P000008	AT1G01080.2	Si_s2233_00120.m	NA	NA	-0.248631689058031	-0.398730579689914	NA	NA
P000010	AT1G01110.2	Si_s2233_00170.m	NA	NA	-0.250051076003622	-0.35313248478892	NA	NA
P000017	AT1G01230.1	Si_s2233_00240.m	NA	NA	0.0318990248696967	0.211591901828622	NA	NA
P000018	AT1G01240.1	Si_s2233_00250.a	NA	NA	0.733130719739658	0.860479959325884	NA	NA
P000019	AT1G01250.1	Si_s2233_00260.a	NA	NA	3.04243119074194	0.715242576741914	NA	NA
P000020	AT1G01260.1	Si_s2233_00270.a	NA	NA	0.0327876374962293	0.0801490494725344	NA	NA
P000022	AT1G01300.1	Si_s2233_00300.m	NA	NA	-0.180893306661605	0.0506162711582202	NA	NA
P000029	AT1G01370.1	Si_s2233_00380.m	NA	NA	-0.567881439546959	-0.102433494060927	NA	NA
P000032	AT1G01420.2	Si_s2233_00400.m	NA	NA	0.539189944590829	0.822922066017641	NA	NA
P000033	AT1G01430.1	Si_s2233_00410.m	NA	NA	0.130437623363519	0.610179110330719	NA	NA
P000038	AT1G01470.1	Si_s2233_00460.m	NA	NA	1.18600427458858	2.37655164831727	NA	NA
P000040	AT1G01490.4	Si_s2233_00480.a	NA	NA	-0.014428592615866	0.464937391032977	NA	NA
P000045	AT1G01550.1	Si_s2851_00730.a	NA	NA	0.238524989800551	0.039889524046882	NA	NA
P000047	AT1G01570.2	Si_s2851_00710.m	NA	NA	1.41982223087434	4.92293235636103	NA	NA
P000050	AT1G01600.1	Si_s2851_00670.m	NA	NA	0.351061117481755	1.08243032782872	NA	NA
P000052	AT1G01620.1	Si_s2851_00650.m	NA	NA	-0.581379487385701	-0.31843607959113	NA	NA
P000053	AT1G01630.1	Si_s2851_00640.m	NA	NA	0.0115608389853722	0.0540443400646391	NA	NA
P000057	AT1G01670.1	Si_s2851_00600.m	NA	NA	0.269753938418485	0.939166670593309	NA	NA
P000062	AT1G01710.1	Si_s2851_00540.m	NA	NA	0.478443137619321	0.410816792207731	NA	NA
P000064	AT1G01720.1	Si_s2851_00520.a	NA	NA	1.02303779214854	0.0431920546030384	NA	NA
P000071	AT1G01790.1	Si_s2851_00440.m	NA	NA	-0.0296430733511521	-0.0849969227069121	NA	NA
P000073	AT1G01820.1	Si_s2851_00410.m	NA	NA	-0.131177202469165	-0.219221302143672	NA	NA
P000074	AT1G01830.1	Si_s2851_00380.a	NA	NA	0.536822961268667	-0.725222978385526	NA	NA
P000080	AT1G01940.1	Si_s2851_00300.m	NA	NA	-0.264871691924154	0.542328627009526	NA	NA
P000086	AT1G02020.1	Si_s2301_00300.m	NA	NA	0.0453123113456599	0.659275431958992	NA	NA
P000095	AT1G02110.1	Si_s1717_00360.m	NA	NA	-0.0731887601944449	0.0223795537454003	NA	NA
P000099	AT1G02150.1	Si_s2851_00080.m	NA	NA	-0.305582548830604	-0.0979295717715606	NA	NA
P000100	AT1G02160.2	Si_s2851_00070.m	NA	NA	-0.130542420779293	0.120197930389389	NA	NA
P000108	AT1G02270.1	Si_c230355_00090.m	NA	NA	0.333025724252438	0.455061053999521	NA	NA
P000109	AT1G02280.1	Si_c230355_00070.m	NA	NA	-0.639505699690718	-0.905920708964549	NA	NA
P000111	AT1G02305.1	Si_c230355_00050.m	NA	NA	0.722315515472688	0.483243178121445	NA	NA
P000114	AT1G02335.1	Si_c230355_00010.m	NA	NA	1.17366231772757	1.4215342996736	NA	NA
P000116	AT1G02370.1	Si_s2380_00790.m	NA	NA	-0.181649737383437	-0.475147599094802	NA	NA
P000124	AT1G02460.1	Si_s2380_00700.m	NA	NA	-0.524037034391395	-2.39857069952966	NA	NA
P000125	AT1G02470.1	Si_s2380_00690.m	NA	NA	0.908361395907813	3.19979943432149	NA	NA
P000127	AT1G02530.1	Si_s2380_00670.m	NA	NA	-0.637373417227198	-0.526187276785987	NA	NA
P000133	AT1G02640.1	Si_s2380_00600.m	NA	NA	-1.26420769671456	-2.99615038943391	NA	NA
P000141	AT1G02780.1	Si_s2380_00490.m	NA	NA	-0.428229177087997	-0.437446553149474	NA	NA
P000143	AT1G02816.1	Si_s2380_00450.a	NA	NA	0.92445459048299	0.600457715921282	NA	NA
P000146	AT1G02840.1	Si_s1644_00590.m	NA	NA	-0.0825194941830811	0.132967626510991	NA	NA
P000148	AT1G02860.1	Si_s2380_00400.m	NA	NA	-0.334848331061852	-0.905964033859805	NA	NA
P000150	AT1G02880.6	Si_s2380_00350.m	NA	NA	0.395732750745879	0.216464565427508	NA	NA
P000152	AT1G02900.1	Si_s2380_00330.a	NA	NA	-1.18504765895709	-0.623627464052745	NA	NA
P000153	AT1G02910.1	Si_s2380_00320.m	NA	NA	-0.397782626738259	-0.0235895397882619	NA	NA
P000158	AT1G02970.1	Si_s2380_00270.m	NA	NA	-0.894873221662097	-0.112661658255048	NA	NA
P000162	AT1G03030.1	Si_s2380_00210.m	NA	NA	0.426485371302203	0.0251956014202008	NA	NA
P000167	AT1G03070.1	Si_s2380_00160.m	NA	NA	3.97428122930334	0.899749047057521	NA	NA
P000169	AT1G03090.2	Si_s2380_00140.m	NA	NA	0.0163082557696337	-1.62591957068362	NA	NA
